date,opponent,batter,pitcherHand,plateAppearance,pitchType,pitchLocation,swing,miss,result,resultType,resultLocation,hitType
30/05/24,Danville,Bock,R,3,FB,10,0,0,ball,walk,,
30/05/24,Danville,Bock,R,4,FB,12,1,1,strike,swinging,,
30/05/24,Danville,Bock,R,4,CH,10,0,0,ball,,,
30/05/24,Danville,Bock,R,4,FB,7,1,1,strike,swinging,,
30/05/24,Danville,Bock,R,4,SL,12,0,0,ball,,,
30/05/24,Danville,Bock,R,4,FB,12,0,0,ball,,,
30/05/24,Danville,Bock,R,4,CB,10,0,0,ball,walk,,
30/05/24,Danville,Bock,R,5,FB,13,0,0,ball,,,
30/05/24,Danville,Bock,R,5,SL,4,0,0,strike,looking,,
30/05/24,Danville,Bock,R,5,FB,10,0,0,ball,,,
30/05/24,Danville,Bock,R,5,FB,4,0,0,strike,looking,,
30/05/24,Danville,Bock,R,5,CB,9,0,0,strike,looking,,kk
31/05/24,Burlington,Bock,R,1,FB,9,0,0,strike,looking,,
31/05/24,Burlington,Bock,R,1,FB,12,1,1,strike,swinging,,
31/05/24,Burlington,Bock,R,1,SL,13,0,0,ball,,,
31/05/24,Burlington,Bock,R,1,FB,6,0,0,strike,looking,,kk
31/05/24,Burlington,Bock,L,2,FB,6,1,1,strike,swinging,,
31/05/24,Burlington,Bock,L,2,FB,12,0,0,ball,,,
31/05/24,Burlington,Bock,L,2,FB,9,0,0,strike,looking,,
31/05/24,Burlington,Bock,L,2,CH,13,0,0,ball,,,
31/05/24,Burlington,Bock,L,2,FB,1,1,0,bip,grounder,3,roe
31/05/24,Burlington,Bock,R,3,FB,5,1,0,bip,grounder,4,single
31/05/24,Burlington,Bock,R,4,FB,11,0,0,ball,,,
31/05/24,Burlington,Bock,R,4,FB,11,0,0,ball,,,
31/05/24,Burlington,Bock,R,4,FB,3,1,0,bip,fly,5,single
07/06/24,Reidsville,Bock,R,1,FB,7,0,0,strike,looking,,
07/06/24,Reidsville,Bock,R,1,SL,9,1,0,bip,fly,6,single
07/06/24,Reidsville,Bock,R,2,FB,10,0,0,ball,,,
07/06/24,Reidsville,Bock,R,2,FB,12,0,0,ball,,,
07/06/24,Reidsville,Bock,R,2,SL,13,0,0,ball,,,
07/06/24,Reidsville,Bock,R,2,FB,6,0,0,strike,looking,,
07/06/24,Reidsville,Bock,R,2,FB,10,0,0,ball,walk,,
07/06/24,Reidsville,Bock,R,3,FB,11,0,0,ball,,,
07/06/24,Reidsville,Bock,R,3,SL,10,0,0,ball,,,
07/06/24,Reidsville,Bock,R,3,CH,1,1,0,bip,popup,3,po5
07/06/24,Reidsville,Bock,R,4,CH,13,0,0,ball,,,
07/06/24,Reidsville,Bock,R,4,FB,10,1,0,foul,,,
07/06/24,Reidsville,Bock,R,4,CB,13,0,0,ball,,,
07/06/24,Reidsville,Bock,R,4,FB,9,0,0,strike,looking,,
07/06/24,Reidsville,Bock,R,4,CB,11,0,0,ball,,,
07/06/24,Reidsville,Bock,R,4,CB,13,0,0,ball,walk,,
04/06/24,High Point,Bock,R,1,CB,10,0,0,ball,,,
04/06/24,High Point,Bock,R,1,FB,13,0,0,ball,,,
04/06/24,High Point,Bock,R,1,FB,12,0,0,ball,,,
04/06/24,High Point,Bock,R,1,FB,13,0,0,ball,walk,,
04/06/24,High Point,Bock,R,2,FB,13,0,0,ball,,,
04/06/24,High Point,Bock,R,2,CH,13,0,0,ball,,,
04/06/24,High Point,Bock,R,2,FB,9,0,0,strike,looking,,
04/06/24,High Point,Bock,R,2,FB,13,0,0,ball,,,
04/06/24,High Point,Bock,R,2,SL,13,1,1,strike,swinging,,
04/06/24,High Point,Bock,R,2,CH,13,0,0,ball,walk,,
04/06/24,High Point,Bock,R,3,FB,9,0,0,strike,looking,,
04/06/24,High Point,Bock,R,3,CH,6,0,0,strike,looking,,
04/06/24,High Point,Bock,R,3,FB,5,1,0,bip,liner,4,single
04/06/24,High Point,Bock,R,4,FB,10,0,0,ball,,,
04/06/24,High Point,Bock,R,4,FB,13,0,0,ball,,,
04/06/24,High Point,Bock,R,4,CH,11,0,0,ball,,,
04/06/24,High Point,Bock,R,4,CH,8,0,0,strike,looking,,
04/06/24,High Point,Bock,R,4,FB,1,1,0,bip,liner,5,single
04/06/24,High Point,Bock,L,5,FB,11,0,0,ball,,,
04/06/24,High Point,Bock,L,5,FB,13,0,0,ball,,,
04/06/24,High Point,Bock,L,5,FB,4,0,0,strike,looking,,
04/06/24,High Point,Bock,L,5,CB,8,0,0,strike,looking,,
04/06/24,High Point,Bock,L,5,CH,10,0,0,ball,,,
04/06/24,High Point,Bock,L,5,FB,5,1,0,foul,,,
04/06/24,High Point,Bock,L,5,FB,6,0,0,strike,looking,,kk
05/06/24,Yorktown,Bock,R,1,CB,4,1,0,foul,,,
05/06/24,Yorktown,Bock,R,1,CH,11,0,0,ball,,,
05/06/24,Yorktown,Bock,R,1,FB,6,0,0,strike,looking,,
05/06/24,Yorktown,Bock,R,1,SL,8,0,0,strike,looking,,kk
05/06/24,Yorktown,Bock,R,2,CH,2,1,1,strike,swinging,,
05/06/24,Yorktown,Bock,R,2,FB,11,0,0,ball,,,
05/06/24,Yorktown,Bock,R,2,FB,5,1,0,bip,liner,4,double
05/06/24,Yorktown,Bock,R,3,CB,13,0,0,ball,,,
05/06/24,Yorktown,Bock,R,3,FB,2,1,0,foul,,,
05/06/24,Yorktown,Bock,R,3,FB,11,0,0,ball,,,
05/06/24,Yorktown,Bock,R,3,FB,5,1,0,bip,fly,5,fo8
05/06/24,Yorktown,Bock,L,4,CH,11,1,0,foul,,,
05/06/24,Yorktown,Bock,L,4,FB,9,0,0,strike,looking,,
05/06/24,Yorktown,Bock,L,4,FB,9,0,0,strike,looking,,kk
21/06/24,Oak City,Bock,R,1,SL,10,0,0,ball,,,
21/06/24,Oak City,Bock,R,1,FB,5,1,0,foul,,,
21/06/24,Oak City,Bock,R,1,FB,1,1,0,bip,grounder,3,go5
21/06/24,Oak City,Bock,R,2,SL,4,1,1,strike,swinging,,
21/06/24,Oak City,Bock,R,2,SL,10,0,0,ball,,,
21/06/24,Oak City,Bock,R,2,FB,7,0,0,strike,looking,,
21/06/24,Oak City,Bock,R,2,SL,11,0,0,ball,,,
21/06/24,Oak City,Bock,R,2,SL,5,1,1,strike,swinging,,k
27/06/24,C. Pirates,Bock,R,1,FB,10,0,0,ball,,,
27/06/24,C. Pirates,Bock,R,1,CH,13,0,0,bs,,,
27/06/24,C. Pirates,Bock,R,1,FB,6,0,0,strike,looking,,
27/06/24,C. Pirates,Bock,R,1,FB,5,1,0,bip,grounder,2,go4
27/06/24,C. Pirates,Bock,R,2,FB,3,1,0,bip,popup,5,po8
27/06/24,C. Pirates,Bock,R,3,CH,11,0,0,ball,,,
27/06/24,C. Pirates,Bock,R,3,CH,13,1,0,bip,popup,6,po9
27/06/24,C. Pirates,Bock,R,4,FB,6,1,1,strike,swinging,,
27/06/24,C. Pirates,Bock,R,4,CB,12,0,0,ball,,,
27/06/24,C. Pirates,Bock,R,4,CH,10,0,0,ball,,,
27/06/24,C. Pirates,Bock,R,4,FB,1,1,0,bip,liner,4,single
02/07/24,Clayton,Bock,R,1,SL,13,0,0,ball,,,
02/07/24,Clayton,Bock,R,1,FB,5,1,0,foul,,,
02/07/24,Clayton,Bock,R,1,FB,2,1,1,strike,swinging,,
02/07/24,Clayton,Bock,R,1,FB,10,0,0,ball,hbp,,
02/07/24,Clayton,Bock,R,2,CH,12,0,0,ball,,,
02/07/24,Clayton,Bock,R,2,CB,9,0,0,strike,looking,,
02/07/24,Clayton,Bock,R,2,FB,9,1,0,bip,liner,4,lo7
02/07/24,Clayton,Bock,L,3,FB,7,1,0,foul,,,
02/07/24,Clayton,Bock,L,3,CH,13,1,1,strike,swinging,,
02/07/24,Clayton,Bock,L,3,CH,4,0,0,strike,looking,,kk
07/07/24,Oak City,Bock,R,1,CB,12,0,0,ball,,,
07/07/24,Oak City,Bock,R,1,FB,11,0,0,ball,,,
07/07/24,Oak City,Bock,R,1,FB,12,0,0,ball,,,
07/07/24,Oak City,Bock,R,1,CH,11,0,0,ball,walk,,
07/07/24,Oak City,Bock,R,2,SL,9,0,0,strike,looking,,
07/07/24,Oak City,Bock,R,2,FB,13,0,0,ball,,,
07/07/24,Oak City,Bock,R,2,CB,5,0,0,strike,looking,,
07/07/24,Oak City,Bock,R,2,CB,6,0,0,strike,looking,,kk
07/07/24,Oak City,Bock,R,3,FB,4,1,1,strike,swinging,,
07/07/24,Oak City,Bock,R,3,FB,10,1,1,strike,swinging,,
07/07/24,Oak City,Bock,R,3,CH,12,0,0,ball,,,
07/07/24,Oak City,Bock,R,3,FB,12,1,1,strike,swinging,,k
07/07/24,Oak City,Bock,R,4,CB,12,0,0,ball,,,
07/07/24,Oak City,Bock,R,4,FB,13,0,0,ball,,,
07/07/24,Oak City,Bock,R,4,FB,13,0,0,ball,,,
07/07/24,Oak City,Bock,R,4,CH,13,0,0,ball,walk,,
07/07/24,Oak City,Bock,R,5,FB,11,0,0,ball,,,
07/07/24,Oak City,Bock,R,5,SL,11,0,0,ball,,,
07/07/24,Oak City,Bock,R,5,CH,13,1,1,strike,swinging,,
07/07/24,Oak City,Bock,R,5,SL,11,0,0,ball,,,
07/07/24,Oak City,Bock,R,5,FB,11,0,0,ball,walk,,
10/07/24,Clayton,Bock,R,1,CB,11,0,0,ball,,,
10/07/24,Clayton,Bock,R,1,FB,9,1,1,strike,swinging,,
10/07/24,Clayton,Bock,R,1,FB,7,1,0,bip,grounder,2,roe
10/07/24,Clayton,Bock,R,2,FB,3,1,0,bip,popup,6,po4
10/07/24,Clayton,Bock,R,3,SL,13,0,0,ball,,,
10/07/24,Clayton,Bock,R,3,CB,13,0,0,ball,,,
10/07/24,Clayton,Bock,R,3,FB,13,0,0,ball,,,
10/07/24,Clayton,Bock,R,3,CH,13,0,0,ball,walk,,
11/07/24,C. Pirates,Bock,R,1,CH,13,0,0,ball,,,
11/07/24,C. Pirates,Bock,R,1,FB,13,0,0,ball,,,
11/07/24,C. Pirates,Bock,R,1,FB,4,1,1,strike,swinging,,
11/07/24,C. Pirates,Bock,R,1,CH,8,0,0,strike,looking,,
11/07/24,C. Pirates,Bock,R,1,FB,10,0,0,ball,,,
11/07/24,C. Pirates,Bock,R,1,FB,10,0,0,ball,walk,,
11/07/24,C. Pirates,Bock,R,2,FB,13,0,0,ball,,,
11/07/24,C. Pirates,Bock,R,2,CH,5,1,0,bip,fly,4,hr
11/07/24,C. Pirates,Bock,R,3,FB,11,0,0,ball,,,
11/07/24,C. Pirates,Bock,R,3,CB,12,0,0,ball,,,
11/07/24,C. Pirates,Bock,R,3,FB,4,0,0,strike,looking,,
11/07/24,C. Pirates,Bock,R,3,FB,10,0,0,ball,,,
11/07/24,C. Pirates,Bock,R,3,FB,2,1,0,bip,liner,4,single
11/07/24,C. Pirates,Bock,R,4,FB,4,0,0,strike,looking,,
11/07/24,C. Pirates,Bock,R,4,FB,13,0,0,ball,,,
11/07/24,C. Pirates,Bock,R,4,FB,4,1,0,foul,,,
11/07/24,C. Pirates,Bock,R,4,FB,6,1,0,bip,grounder,3,fc
11/07/24,C. Pirates,Bock,R,5,FB,5,1,0,foul,,,
11/07/24,C. Pirates,Bock,R,5,CH,13,0,0,ball,,,
11/07/24,C. Pirates,Bock,R,5,FB,9,1,0,foul,,,
11/07/24,C. Pirates,Bock,R,5,CH,3,1,0,bip,fly,5,fo8
16/07/24,Oak City,Bock,R,1,,,,,,walk,,
17/07/24,High Point,Bock,R,1,SL,6,0,0,strike,looking,,
17/07/24,High Point,Bock,R,1,CH,10,0,0,ball,,,
17/07/24,High Point,Bock,R,1,FB,12,0,0,ball,,,
17/07/24,High Point,Bock,R,1,FB,5,1,0,bip,fly,5,fo8
17/07/24,High Point,Bock,R,2,CB,7,0,0,strike,looking,,
17/07/24,High Point,Bock,R,2,SL,6,1,1,strike,swinging,,
17/07/24,High Point,Bock,R,2,FB,13,1,0,foul,,,
17/07/24,High Point,Bock,R,2,CH,10,0,0,ball,,,
17/07/24,High Point,Bock,R,2,SL,8,1,0,foul,,,
17/07/24,High Point,Bock,R,2,FB,1,1,1,strike,swinging,,k
17/07/24,High Point,Bock,R,3,FB,10,1,0,foul,,,
17/07/24,High Point,Bock,R,3,FB,12,1,0,foul,,,
17/07/24,High Point,Bock,R,3,FB,1,1,0,bip,fly,4,fo7
17/07/24,High Point,Bock,L,4,FB,11,0,0,ball,,,
17/07/24,High Point,Bock,L,4,CH,13,1,1,strike,swinging,,
17/07/24,High Point,Bock,L,4,FB,2,1,1,strike,swinging,,
17/07/24,High Point,Bock,L,4,FB,5,1,1,strike,swinging,,k
06/07/24,High Point,Bock,R,1,FB,4,1,0,bip,grounder,2,single
06/07/24,High Point,Bock,R,2,CH,2,0,0,strike,looking,,
06/07/24,High Point,Bock,R,2,CB,13,1,1,strike,swinging,,
06/07/24,High Point,Bock,R,2,CB,1,1,0,foul,,,
06/07/24,High Point,Bock,R,2,CB,13,0,0,ball,,,
06/07/24,High Point,Bock,R,2,CH,13,0,0,ball,,,
06/07/24,High Point,Bock,R,2,FB,9,1,0,bip,fly,4,single
06/07/24,High Point,Bock,R,3,CB,6,0,0,strike,looking,,
06/07/24,High Point,Bock,R,3,CB,6,1,0,bip,grounder,2,go4
